service,name,longitude,latitude,location_type,file_path,5m_area,5m_total_pop,5m_reachfactor,10m_area,10m_total_pop,10m_reachfactor,15m_area,15m_total_pop,15m_reachfactor,20m_area,20m_total_pop,20m_reachfactor,25m_area,25m_total_pop,25m_reachfactor,30m_area,30m_total_pop,30m_reachfactor
Birmingham City Council,Bartley Green Library,-1.9985,52.436064,destination,311221.22,1428.0,0.8916,1276015.27,5321.0,0.9139,2847801.72,11164.0,0.9065,5138753.67,20019.0,0.9201,7826255.11,24653.0,0.8968,11526005.5,33579.0,0.9172
Birmingham City Council,Birchfield Library,-1.9020308,52.5089563,destination,361259.9,4320.0,1.0,1441854.1,15892.0,1.0,3433206.58,34889.0,1.0,6256690.38,51398.0,1.0,9768378.92,65044.0,1.0,14074185.42,81994.0,1.0
Birmingham City Council,Bloomsbury Library,-1.876649,52.493239,destination,359879.74,2167.0,1.0,1479437.6,5640.0,1.0,3264784.7,9706.0,1.0,5788902.19,21715.0,1.0,9578694.32,40759.0,1.0,13891184.17,62939.0,1.0
Birmingham City Council,Boldmere Library,-1.840495,52.5469528,destination,389624.65,1844.0,1.0,1547551.95,7323.0,1.0,3322118.97,14866.0,1.0,5949236.55,24400.0,1.0,9481482.92,38633.0,1.0,13448176.28,54305.0,1.0
Birmingham City Council,Castle Vale Library,-1.7849498,52.5213443,destination,355782.6,2360.0,1.0,1302018.15,7453.0,0.9325,2636792.66,10718.0,0.8393,4297903.91,13877.0,0.7695,6742566.29,18189.0,0.7726,9637652.58,23625.0,0.7669
Birmingham City Council,Druids Heath Library,-1.8892205,52.4073048,destination,344134.82,2343.0,0.9859,1247896.9,6560.0,0.8937,2731217.17,12311.0,0.8694,4913142.26,19078.0,0.8797,8145882.41,28690.0,0.9334,12511923.41,44257.0,0.9957
Birmingham City Council,Erdington Library,-1.9309226,52.5028904,destination,333292.08,2765.0,0.9548,1533541.21,13676.0,1.0,3557869.94,27748.0,1.0,6262443.24,46644.0,1.0,9683785.33,71216.0,1.0,14140248.24,95308.0,1.0
Birmingham City Council,Frankley Library,-2.017017,52.4038235,destination,359924.35,1187.0,1.0,1283784.41,6342.0,0.9194,2966595.08,11790.0,0.9443,5398401.87,17168.0,0.9666,7862217.6,23992.0,0.9009,12287670.84,31598.0,0.9778
Birmingham City Council,Glebe Farm Library,-1.7940723,52.4890947,destination,339551.93,2786.0,0.9727,1252678.32,8375.0,0.8972,2709990.07,14803.0,0.8626,5002200.99,26495.0,0.8956,8257239.26,42318.0,0.9462,12864765.07,62760.0,1.0
Birmingham City Council,Hall Green Library,-1.8465237,52.4337139,destination,348184.38,1451.0,0.9975,1447937.67,7275.0,1.0,3354286.39,19083.0,1.0,6104785.03,35489.0,1.0,9796639.48,58900.0,1.0,13908644.23,82487.0,1.0
Birmingham City Council,Handsworth Library,-1.9309226,52.5028904,destination,333292.08,2765.0,0.9548,1533541.21,13676.0,1.0,3557869.94,27748.0,1.0,6262443.24,46644.0,1.0,9683785.33,71216.0,1.0,14140248.24,95308.0,1.0
Birmingham City Council,Harborne Library,-1.9507663,52.4585348,destination,324651.53,2312.0,0.9301,1504536.97,8156.0,1.0,3276109.76,14721.0,1.0,6035142.22,23757.0,1.0,9226773.6,35472.0,1.0,13779341.34,55309.0,1.0
Birmingham City Council,Kings Heath Library,-1.8930228,52.4377924,destination,297171.28,1634.0,0.8513,1340360.02,6981.0,0.96,3272991.6,15049.0,1.0,5894072.53,25851.0,1.0,9386479.32,44522.0,1.0,13623197.28,69845.0,1.0
Birmingham City Council,Kings Norton Library,-1.9276811,52.4093922,destination,363391.73,485.0,1.0,1432635.78,3414.0,1.0,3337794.15,11299.0,1.0,6219109.82,26485.0,1.0,9709874.4,41403.0,1.0,14172909.21,59061.0,1.0
Birmingham City Council,Kingstanding Library,-1.8853866,52.5518685,destination,323240.93,1591.0,0.926,1462654.77,9284.0,1.0,3411314.43,21018.0,1.0,6261987.65,36592.0,1.0,9640777.91,51048.0,1.0,13817457.91,64848.0,1.0
Birmingham City Council,Library of Birmingham,-1.9084519,52.4797664,destination,353953.71,1575.0,1.0,1551990.96,10457.0,1.0,3618893.84,24873.0,1.0,6487879.73,38574.0,1.0,10223867.32,52886.0,1.0,14851123.05,73834.0,1.0
Birmingham City Council,Mere Green Library,-1.8273979,52.5864561,destination,263582.66,710.0,0.7551,1265193.64,4529.0,0.9061,2853599.26,10688.0,0.9083,4913611.69,16345.0,0.8798,7409083.1,21542.0,0.849,11366419.56,27327.0,0.9045
Birmingham City Council,Northfield Library,-1.9666777,52.4147681,destination,257345.68,891.0,0.7372,1259403.88,5615.0,0.902,3100768.35,14077.0,0.987,5856725.0,28400.0,1.0,9361633.43,44323.0,1.0,13560992.72,61015.0,1.0
Birmingham City Council,Perry Common Library,-1.8760101,52.5355886,destination,398766.77,1773.0,1.0,1569106.07,8820.0,1.0,3448499.35,17592.0,1.0,6323529.16,33887.0,1.0,10201179.54,50888.0,1.0,14952549.99,74407.0,1.0
Birmingham City Council,Quinton Library,-1.9856887,52.4601445,destination,339087.94,1748.0,0.9714,1406918.26,7919.0,1.0,3283953.06,20009.0,1.0,5951606.49,31413.0,1.0,9373451.06,43287.0,1.0,13763672.29,61550.0,1.0
Birmingham City Council,Selly Oak Library,-1.938827,52.440091,destination,366760.54,1671.0,1.0,1556949.65,8605.0,1.0,3565123.2,21052.0,1.0,6478123.15,29480.0,1.0,10293093.47,46246.0,1.0,14475377.53,64705.0,1.0
Birmingham City Council,Shard End Library,-1.7770289,52.4946369,destination,281107.79,1561.0,0.8053,1129853.22,5656.0,0.8092,2593184.26,11613.0,0.8254,5038581.02,21683.0,0.9022,8154653.76,35826.0,0.9345,11712773.95,54847.0,0.9321
Birmingham City Council,Sheldon Library,-1.7823279,52.4620848,destination,343937.6,2050.0,0.9853,1441459.99,7646.0,1.0,3278808.51,17158.0,1.0,5772900.85,29991.0,1.0,8640128.58,41463.0,0.9901,12313050.93,58247.0,0.9798
Birmingham City Council,Small Heath Library,-1.857302,52.4709079,destination,349893.32,3744.0,1.0,1526004.16,15057.0,1.0,3339285.64,28266.0,1.0,5878467.01,47062.0,1.0,9524762.81,69091.0,1.0,13662382.29,96450.0,1.0
Birmingham City Council,South Yardley Library,-1.8158018,52.4609819,destination,356738.68,1676.0,1.0,1454656.75,6125.0,1.0,3426801.43,18470.0,1.0,6259760.55,35623.0,1.0,9891173.77,52550.0,1.0,14301626.53,78406.0,1.0
Birmingham City Council,Sparkhill Library,-1.8643287,52.4506187,destination,432587.23,5024.0,1.0,1462411.7,18545.0,1.0,3444985.06,37079.0,1.0,6217937.13,59515.0,1.0,9420477.89,75184.0,1.0,14112702.58,99636.0,1.0
Birmingham City Council,Spring Hill Library,-1.921123,52.48548,destination,307625.74,1544.0,0.8813,1328159.51,5762.0,0.9512,3221341.59,15911.0,1.0,6003443.35,34869.0,1.0,9687918.47,59371.0,1.0,14369991.0,87778.0,1.0
Birmingham City Council,Stirchley Library,-1.9233249,52.4289569,destination,346540.85,1944.0,0.9928,1359795.72,6042.0,0.9739,3283884.77,16064.0,1.0,6123302.88,29250.0,1.0,9693781.44,45148.0,1.0,13985063.37,65643.0,1.0
Birmingham City Council,Sutton Coldfield Library,-1.8230483,52.5622429,destination,300744.67,937.0,0.8616,1468916.92,4644.0,1.0,3397208.82,9354.0,1.0,6256511.24,16307.0,1.0,9734703.26,26096.0,1.0,13743561.6,38356.0,1.0
Birmingham City Council,Tower Hill Library,-1.9197831,52.5342678,destination,322679.22,1889.0,0.9244,1451965.23,9471.0,1.0,3176891.59,16992.0,1.0,5571950.44,26530.0,0.9977,8921608.02,42536.0,1.0,12889122.68,56194.0,1.0
Birmingham City Council,Walmley Library,-1.8009574,52.5406898,destination,347191.83,1088.0,0.9946,1406623.31,4383.0,1.0,2860516.0,9380.0,0.9105,4747753.15,14144.0,0.8501,7673660.97,20469.0,0.8793,12243996.96,35739.0,0.9743
Birmingham City Council,Ward End Library,-1.835398,52.494768,destination,283417.93,1220.0,0.8119,1337743.69,10393.0,0.9581,2918075.14,23503.0,0.9289,4986774.02,41631.0,0.8929,8194794.13,58478.0,0.9391,12319325.02,76191.0,0.9803
Birmingham City Council,Weoley Castle Library,-1.9685877,52.4384032,destination,332091.81,1805.0,0.9514,1512198.92,8534.0,1.0,3408815.92,16310.0,1.0,6173727.77,26892.0,1.0,9519662.71,40463.0,1.0,13766574.6,56812.0,1.0
Birmingham City Council,Yardley Wood Library,-1.859168,52.418648,destination,359249.45,1597.0,1.0,1502601.07,7233.0,1.0,3456255.57,18119.0,1.0,6152632.19,30657.0,1.0,9867832.21,47726.0,1.0,13986819.09,67791.0,1.0
